E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14
NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;NA;8.5;NA;NA;NA;NA;NA;10;3.5;NA;NA;NA;NA
NA;8.5;NA;6.3;NA;NA;NA;NA;9.4;NA;NA;NA;18.7;NA
NA;NA;6.3;NA;13;NA;NA;15.3;NA;NA;NA;NA;12.8;NA
NA;NA;NA;13;NA;3;2.4;30;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;15.3;30;NA;NA;NA;9.6;NA;NA;6.4;NA;NA
NA;10;9.4;NA;NA;NA;NA;9.6;NA;NA;12.2;NA;NA;NA
NA;3.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;12.2;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;6.4;NA;NA;NA;NA;NA;NA
NA;NA;18.7;12.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.1
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.1;NA
